iteration,hit,distance
1,7,2.47452
1,1_7,2.483447
1,2_7,2.558165
1,3_7,2.538066
1,4_7,2.511874
1,5_7,2.586905
1,7_7,2.607706
1,6_7,2.589821
1,8_7,2.518491
1,9_7,2.592709
1,10_7,2.580627
1,11_7,2.661864
1,13_7,2.680414
1,12_7,2.666795
1,14_7,2.682726
1,15_7,2.775875
1,16_7,2.869667
1,17_7,2.884202
1,18_7,2.862072
1,19_7,2.828509
1,20_7,2.830569
1,21_7,2.860204
1,22_7,2.922913
1,23_7,2.923671
1,24_7,2.974847
1,25_7,2.93842
1,26_7,2.898596
1,6,1.880821
1,27_7,2.892897
1,28_7,2.921131
1,29_7,2.882276
1,30_7,2.867039
1,31_7,2.839181
1,8,3.467676
1,32_7,2.80831
1,34_7,2.931563
1,33_7,2.913079
1,35_7,2.881948
1,36_7,2.952861
1,38_7,2.927881
1,37_7,2.943146
1,39_7,2.958259
1,40_7,2.978332
1,41_7,2.961942
1,42_7,3.000325
1,43_7,3.006312
1,44_7,3.067294
1,45_7,3.05414
1,47_7,3.190915
1,46_7,3.205913
1,48_7,3.126941
1,50_7,3.127214
1,49_7,3.145086
1,51_7,3.076296
1,57_7,3.072818
1,54_7,3.096431
1,55_7,3.092553
1,58_7,3.2114
1,52_7,3.020837
1,53_7,3.060347
1,59_7,3.210312
1,56_7,3.052373
1,60_7,3.324779
1,61_7,3.3244
1,62_7,3.449753
1,64_7,3.593351
1,63_7,3.609417
1,65_7,3.570079
1,9,4.280447
1,66_7,3.540827
1,67_7,3.489264
1,69_7,3.576111
1,68_7,3.65901
1,70_7,3.530794
1,72_7,3.534531
1,71_7,3.556575
1,73_7,3.543499
1,5,1.341581
1,76_7,3.639716
1,75_7,3.605332
1,74_7,3.605855
1,77_7,3.844351
1,78_7,3.837233
1,80_7,3.858729
1,79_7,3.691042
1,81_7,3.861207
1,82_7,4.047555
1,83_7,4.083551
1,84_7,4.028895
1,85_7,4.203164
1,87_7,4.27135
1,86_7,4.219512
1,89_7,4.350966
1,91_7,4.374009
1,88_7,4.24635
1,90_7,4.347933
1,92_7,4.381267
1,93_7,4.332172
1,96_7,4.304141
1,95_7,4.357149
1,97_7,4.484473
1,94_7,4.33458
1,98_7,4.471411
1,10,5.0285
1,99_7,4.465098
1,100_7,4.443487
1,101_7,4.475905
1,103_7,4.419026
1,102_7,4.495217
1,104_7,4.303425
1,107_7,4.323
1,105_7,4.307528
1,109_7,4.285104
1,106_7,4.334287
1,108_7,4.285297
1,110_7,4.299715
1,111_7,4.311618
1,112_7,4.493241
1,113_7,4.668156
1,114_7,4.680702
1,4,0.916087
1,115_7,4.87293
1,119_7,4.75235
1,118_7,4.671025
1,116_7,4.873457
1,11,6.162888
1,117_7,4.846145
1,120_7,4.781463
1,121_7,4.849883
1,122_7,4.788493
1,123_7,4.600981
1,125_7,4.534331
1,124_7,4.600851
1,126_7,4.522325
1,127_7,4.762299
1,128_7,4.729143
1,129_7,5.105638
1,131_7,5.113733
1,130_7,5.196323
1,132_7,5.129534
1,133_7,5.188145
1,134_7,5.266314
1,135_7,5.252206
1,12,9.469402
1,141_7,5.318212
1,142_7,5.313959
1,147_7,5.41725
1,3,0.531294
1,152_7,5.50726
1,144_7,5.3137
1,151_7,5.47447
1,149_7,5.395036
1,143_7,5.361065
1,153_7,5.369788
1,148_7,5.884775
1,150_7,5.409508
1,136_7,5.288887
1,140_7,5.307075
1,146_7,5.145167
1,139_7,5.282609
1,145_7,5.098179
1,155_7,5.594251
1,138_7,5.308422
1,154_7,5.684481
1,137_7,5.290719
1,156_7,5.536834
1,159_7,5.555059
1,158_7,5.442898
1,157_7,5.459896
1,162_7,5.421383
1,160_7,5.623309
1,161_7,5.30402
1,163_7,5.463991
1,165_7,5.610604
1,2,0.264213
1,164_7,5.443004
1,166_7,5.236142
1,13,5.568427
1,168_7,5.46207
1,167_7,5.424007
1,170_7,5.412877
1,169_7,5.412888
1,171_7,5.452299
1,174_7,5.821176
1,173_7,5.860143
1,178_7,5.854653
1,181_7,5.736816
1,175_7,5.703474
1,176_7,5.762749
1,172_7,5.612111
1,177_7,5.774383
1,180_7,5.782765
1,179_7,5.817163
1,182_7,6.481637
1,187_7,6.914732
1,188_7,7.031535
1,186_7,6.966258
1,185_7,6.773699
1,189_7,6.984704
1,183_7,6.814437
1,190_7,6.230981
1,197_7,6.342702
1,195_7,6.368687
1,201_7,6.665313
1,184_7,6.716863
1,191_7,6.264607
1,206_7,6.840392
1,194_7,6.430568
1,196_7,6.324289
1,193_7,6.375617
1,198_7,6.449739
1,202_7,6.555267
1,200_7,6.309753
2,8_7,2.518491
2,7,2.47452
2,9_7,2.592709
2,2_7,2.558165
2,1_7,2.483447
2,7_7,2.607706
2,13_7,2.680414
2,3_7,2.538066
2,10_7,2.580627
2,6_7,2.589821
2,14_7,2.682726
2,4_7,2.511874
2,5_7,2.586905
2,12_7,2.666795
2,11_7,2.661864
2,15_7,2.775875
2,16_7,2.869667
2,18_7,2.862072
2,17_7,2.884202
2,6,1.880821
2,20_7,2.830569
2,19_7,2.828509
2,21_7,2.860204
2,23_7,2.923671
2,22_7,2.922913
2,8,3.467676
2,24_7,2.974847
2,25_7,2.93842
2,26_7,2.898596
2,28_7,2.921131
2,27_7,2.892897
2,34_7,2.931563
2,30_7,2.867039
2,33_7,2.913079
2,29_7,2.882276
2,36_7,2.952861
2,32_7,2.80831
2,35_7,2.881948
2,31_7,2.839181
2,38_7,2.927881
2,39_7,2.958259
2,64_7,3.593351
2,37_7,2.943146
2,58_7,3.2114
2,76_7,3.639716
2,62_7,3.449753
2,59_7,3.210312
2,75_7,3.605332
2,77_7,3.844351
2,63_7,3.609417
2,61_7,3.3244
2,42_7,3.000325
2,74_7,3.605855
2,57_7,3.072818
2,60_7,3.324779
2,41_7,2.961942
2,67_7,3.489264
2,9,4.280447
2,65_7,3.570079
2,87_7,4.27135
2,43_7,3.006312
2,89_7,4.350966
2,66_7,3.540827
2,88_7,4.24635
2,54_7,3.096431
2,90_7,4.347933
2,73_7,3.543499
2,40_7,2.978332
2,91_7,4.374009
2,92_7,4.381267
2,44_7,3.067294
2,69_7,3.576111
2,56_7,3.052373
2,50_7,3.127214
2,78_7,3.837233
2,55_7,3.092553
2,47_7,3.190915
2,51_7,3.076296
2,79_7,3.691042
2,49_7,3.145086
2,45_7,3.05414
2,5,1.341581
2,68_7,3.65901
2,80_7,3.858729
2,81_7,3.861207
2,53_7,3.060347
2,70_7,3.530794
2,103_7,4.419026
2,48_7,3.126941
2,52_7,3.020837
2,95_7,4.357149
2,72_7,3.534531
2,86_7,4.219512
2,101_7,4.475905
2,93_7,4.332172
2,71_7,3.556575
2,83_7,4.083551
2,100_7,4.443487
2,46_7,3.205913
2,84_7,4.028895
2,94_7,4.33458
2,104_7,4.303425
2,97_7,4.484473
2,96_7,4.304141
2,85_7,4.203164
2,98_7,4.471411
2,102_7,4.495217
2,82_7,4.047555
2,114_7,4.680702
2,99_7,4.465098
2,10,5.0285
2,113_7,4.668156
2,112_7,4.493241
2,107_7,4.323
2,108_7,4.285297
2,105_7,4.307528
2,109_7,4.285104
2,106_7,4.334287
2,115_7,4.87293
2,110_7,4.299715
2,111_7,4.311618
2,119_7,4.75235
2,120_7,4.781463
2,121_7,4.849883
2,122_7,4.788493
2,11,6.162888
2,116_7,4.873457
2,123_7,4.600981
2,117_7,4.846145
2,118_7,4.671025
2,124_7,4.600851
2,125_7,4.534331
2,127_7,4.762299
2,153_7,5.369788
2,126_7,4.522325
2,128_7,4.729143
2,152_7,5.50726
2,154_7,5.684481
2,129_7,5.105638
2,155_7,5.594251
2,159_7,5.555059
2,151_7,5.47447
2,131_7,5.113733
2,130_7,5.196323
2,147_7,5.41725
2,132_7,5.129534
2,156_7,5.536834
2,141_7,5.318212
2,150_7,5.409508
2,161_7,5.30402
2,142_7,5.313959
2,148_7,5.884775
2,149_7,5.395036
2,162_7,5.421383
2,160_7,5.623309
2,143_7,5.361065
2,4,0.916087
2,144_7,5.3137
2,163_7,5.463991
2,158_7,5.442898
2,133_7,5.188145
2,145_7,5.098179
2,146_7,5.145167
2,136_7,5.288887
2,165_7,5.610604
2,137_7,5.290719
2,140_7,5.307075
2,164_7,5.443004
2,134_7,5.266314
2,139_7,5.282609
2,138_7,5.308422
2,166_7,5.236142
2,135_7,5.252206
2,168_7,5.46207
2,12,9.469402
2,167_7,5.424007
2,170_7,5.412877
2,169_7,5.412888
2,190_7,6.230981
2,181_7,5.736816
2,188_7,7.031535
2,182_7,6.481637
2,157_7,5.459896
2,187_7,6.914732
2,180_7,5.782765
2,189_7,6.984704
2,178_7,5.854653
2,191_7,6.264607
2,171_7,5.452299
2,177_7,5.774383
2,186_7,6.966258
2,185_7,6.773699
2,195_7,6.368687
2,176_7,5.762749
2,179_7,5.817163
2,183_7,6.814437
2,174_7,5.821176
2,192_7,6.281534
2,194_7,6.430568
2,193_7,6.375617
2,175_7,5.703474
2,197_7,6.342702
2,173_7,5.860143
2,196_7,6.324289
2,13,5.568427
2,172_7,5.612111
2,184_7,6.716863
2,198_7,6.449739
2,201_7,6.665313
2,199_7,6.491247
2,202_7,6.555267
2,200_7,6.309753
2,203_7,6.839287
2,206_7,6.840392
2,204_7,6.824249
2,207_7,6.900839
2,205_7,6.291377
2,208_7,6.879321
2,210_7,6.7956
2,209_7,6.798417
2,212_7,6.752644
2,211_7,6.810806
2,213_7,6.695244
2,3,0.531294
2,227_7,6.623802
2,226_7,6.486744
2,214_7,6.9498
2,223_7,6.397439
2,218_7,6.698792
2,215_7,6.960729
2,228_7,6.640155
2,216_7,6.906303
2,229_7,6.655571
2,225_7,6.654328
2,224_7,6.594508
2,222_7,6.711454
2,230_7,6.640313
2,221_7,6.673385
2,220_7,6.618671
2,219_7,6.671418
2,217_7,6.940218
2,231_7,6.637758
2,232_7,6.521892
2,233_7,6.371606
2,234_7,6.530716
2,14,5.904816
2,235_7,6.585922
2,236_7,6.791107
2,2,0.264213
2,237_7,6.907725
2,238_7,6.808869
2,239_7,6.769193
2,240_7,6.760878
2,241_7,6.498278
2,242_7,6.324622
2,243_7,6.276226
2,244_7,6.203425
2,245_7,6.042812
2,246_7,5.957355
2,247_7,6.009604
2,248_7,6.090046
2,249_7,6.261545
2,250_7,6.243379
2,251_7,6.405517
2,252_7,6.595999
2,256_7,6.743076
2,253_7,6.579167
2,255_7,6.793311
2,254_7,6.617359
2,257_7,6.75122
2,258_7,6.678625
2,259_7,6.415405
2,260_7,6.469526
2,261_7,6.505777
2,15,6.810364
2,262_7,6.418998
2,263_7,6.300676
2,264_7,6.330453
2,265_7,6.311732
2,266_7,6.414385
2,268_7,6.81376
2,267_7,6.50835
2,269_7,6.945825
2,270_7,6.681834
2,271_7,6.614377
2,272_7,6.687274
2,274_7,6.699499
2,273_7,6.677732
2,16,9.599011
2,278_7,6.465187
2,277_7,6.4864
2,275_7,6.62974
2,276_7,6.486619
2,279_7,6.472884
2,280_7,6.55002
2,281_7,6.48911
2,282_7,6.539163
2,283_7,6.776731
2,284_7,6.739658
2,285_7,6.764908
2,287_7,6.666251
2,290_7,6.481802
2,286_7,6.677313
2,288_7,6.523117
2,289_7,6.54253
2,291_7,6.609665
2,292_7,6.616369
2,293_7,6.266128
2,294_7,6.561115
2,296_7,6.339103
2,295_7,6.58723
2,297_7,6.258021
2,298_7,6.653729
2,299_7,6.673599
2,303_7,6.848108
2,300_7,6.7028
2,302_7,6.875102
2,304_7,7.366727
2,301_7,6.713572
2,308_7,7.614694
2,305_7,7.349557
2,315_7,7.301011
2,307_7,7.507539
2,309_7,7.799228
2,306_7,7.223988
2,313_7,7.689622
2,317_7,7.867563
2,314_7,7.620601
2,319_7,7.680329
2,320_7,7.675527
2,318_7,7.69235
2,310_7,7.731807
2,316_7,7.979477
2,311_7,7.687013
2,321_7,7.796459
2,322_7,8.019148
2,312_7,7.754209
2,329_7,8.16836
2,327_7,7.895447
2,326_7,7.770654
2,330_7,8.153259
2,328_7,8.036273
2,325_7,7.919529
2,323_7,7.959279
2,324_7,7.735576
2,331_7,8.109368
2,332_7,8.097995
2,17,34.538776
2,1_17,34.538776
2,333_7,7.979186
2,2_17,34.538776
2,7_17,25.125929
