iteration,hit,distance
1,74,3.618413
1,75,3.766952
1,1_74,3.628815
1,76,3.726198
1,2_74,3.466477
1,73,3.518885
1,77,3.717097
1,72,3.476719
1,78,4.110814
1,79,4.089542
1,80,4.269681
1,81,4.327605
1,82,4.298401
1,83,4.24909
1,3_74,3.818016
1,71,3.212132
1,4_74,3.825535
1,5_74,3.808184
1,6_74,3.947055
1,70,3.021296
1,7_74,4.108188
1,69,3.02226
1,68,3.041517
1,8_74,4.28326
1,84,4.549899
1,9_74,4.264971
1,85,4.757428
1,86,4.697374
1,10_74,4.390283
1,67,2.727254
1,87,4.505255
1,66,2.439041
1,88,4.696789
1,65,2.419107
1,64,2.463937
1,63,2.428707
1,89,4.672558
1,61,2.396383
1,62,2.423793
1,11_74,5.127649
1,60,2.382558
1,90,4.71657
1,12_74,5.356936
1,59,2.279987
1,91,4.646405
1,13_74,5.283533
1,58,2.323436
1,15_74,5.315762
1,14_74,5.283817
1,56,2.311436
1,16_74,5.570478
1,57,2.284333
1,92,4.457353
1,17_74,5.307096
1,18_74,5.287632
1,93,4.246033
1,55,2.392858
1,19_74,5.54566
1,20_74,5.562945
1,94,4.422508
1,21_74,5.533396
1,54,2.240353
1,53,2.213444
1,95,4.595769
1,22_74,5.710269
1,52,2.143634
1,96,4.752279
1,23_74,5.687462
1,50,2.163692
1,51,2.142976
1,24_74,5.966015
1,97,4.582762
1,49,2.099088
1,48,2.015457
1,98,4.634793
1,99,4.608024
1,47,2.011434
1,46,1.94057
1,45,1.875175
1,25_74,6.302073
1,44,1.898682
1,26_74,6.434769
1,27_74,6.530141
1,28_74,6.660384
1,100,5.172779
1,29_74,6.594209
1,43,1.659792
1,30_74,6.603169
1,31_74,6.720403
1,32_74,6.669178
1,33_74,6.645514
1,42,1.604979
1,34_74,6.989169
1,35_74,7.471898
1,40,1.518283
1,41,1.60992
1,37_74,7.327535
1,36_74,7.292349
1,39,1.464519
1,38_74,7.654989
1,39_74,7.639323
1,38,1.391821
1,41_74,8.041324
1,40_74,8.118605
1,42_74,8.046285
1,37,1.3602
1,101,6.057637
1,43_74,8.021554
1,36,1.361498
1,35,1.353449
1,44_74,8.043921
1,45_74,8.374
1,102,6.041253
1,103,6.000781
1,34,1.337818
1,104,6.076189
1,105,6.071119
1,106,6.128677
1,46_74,8.299407
1,32,1.334121
1,33,1.28567
1,47_74,8.390636
1,107,6.467684
1,108,6.473747
1,30,0.961029
1,31,1.021714
1,48_74,8.40405
1,49_74,8.423501
1,109,6.476239
1,28,0.867718
1,50_74,8.512758
1,27,0.831067
1,29,0.89981
1,51_74,8.919641
1,110,6.834318
1,26,0.797625
1,54_74,10.003893
1,111,6.74082
1,25,0.741427
1,56_74,9.901036
1,55_74,9.961026
1,53_74,9.914229
1,52_74,9.938669
1,57_74,9.772721
1,112,7.381569
1,58_74,10.392011
1,24,0.716286
1,113,7.690421
1,114,7.672565
1,23,0.673945
1,21,0.605608
1,118,7.16717
1,115,7.426192
1,64_74,13.101891
1,22,0.63023
1,119,7.232837
1,116,7.235042
1,20,0.562058
1,124,7.692574
1,59_74,12.700482
1,117,7.232343
1,126,7.610129
1,123,7.712368
1,63_74,14.624518
1,61_74,14.481252
1,62_74,14.540176
1,60_74,12.824336
1,122,7.683406
1,125,7.578391
1,121,7.680503
1,120,7.662009
1,19,0.450891
1,18,0.401526
1,127,9.036485
1,17,0.367225
1,128,8.221839
1,129,8.269762
1,65_74,14.185655
1,132,7.904473
1,130,8.340065
1,133,8.362931
1,131,8.39536
1,16,0.347746
1,15,0.344091
1,136,9.38064
1,135,9.313296
1,137,9.42507
1,134,8.858455
1,14,0.27438
1,66_74,16.027309
1,138,9.532807
1,143,9.32273
1,139,9.584751
1,140,9.894515
1,141,9.848886
1,142,9.256671
1,67_74,15.700971
1,10,0.195712
1,13,0.259954
1,12,0.234265
1,11,0.221511
1,144,9.266233
1,9,0.183656
1,145,9.48517
1,68_74,15.587131
1,147,8.877479
1,70_74,15.882936
1,69_74,15.702111
1,146,9.388248
1,148,8.670004
1,71_74,15.408603
1,149,8.754576
1,150,9.213742
1,73_74,18.165734
1,155,9.540796
1,72_74,18.317677
1,74_74,18.023691
1,151,9.079106
1,153,9.991817
1,154,10.0513
1,84_74,20.371316
1,75_74,23.3624
2,74,3.618413
2,1_74,3.628815
2,77,3.717097
2,76,3.726198
2,75,3.766952
2,72,3.476719
2,73,3.518885
2,2_74,3.466477
2,78,4.110814
2,3_74,3.818016
2,79,4.089542
2,81,4.327605
2,71,3.212132
2,66,2.439041
2,80,4.269681
2,4_74,3.825535
2,10_74,4.390283
2,65,2.419107
2,69,3.02226
2,9_74,4.264971
2,83,4.24909
2,70,3.021296
2,8_74,4.28326
2,82,4.298401
2,68,3.041517
2,5_74,3.808184
2,6_74,3.947055
2,7_74,4.108188
2,67,2.727254
2,11_74,5.127649
2,64,2.463937
2,48,2.015457
2,12_74,5.356936
2,63,2.428707
2,62,2.423793
2,61,2.396383
2,47,2.011434
2,50,2.163692
2,45,1.875175
2,49,2.099088
2,46,1.94057
2,14_74,5.283817
2,60,2.382558
2,44,1.898682
2,16_74,5.570478
2,13_74,5.283533
2,15_74,5.315762
2,84,4.549899
2,54,2.240353
2,52,2.143634
2,51,2.142976
2,40,1.518283
2,17_74,5.307096
2,85,4.757428
2,53,2.213444
2,18_74,5.287632
2,43,1.659792
2,87,4.505255
2,55,2.392858
2,56,2.311436
2,39,1.464519
2,86,4.697374
2,42,1.604979
2,58,2.323436
2,38,1.391821
2,19_74,5.54566
2,88,4.696789
2,35,1.353449
2,59,2.279987
2,57,2.284333
2,34,1.337818
2,36,1.361498
2,41,1.60992
2,30,0.961029
2,37,1.3602
2,32,1.334121
2,89,4.672558
2,20_74,5.562945
2,29,0.89981
2,33,1.28567
2,31,1.021714
2,28,0.867718
2,21_74,5.533396
2,22_74,5.710269
2,91,4.646405
2,27,0.831067
2,92,4.457353
2,90,4.71657
2,26,0.797625
2,23_74,5.687462
2,27_74,6.530141
2,93,4.246033
2,25,0.741427
2,24_74,5.966015
2,28_74,6.660384
2,94,4.422508
2,42_74,8.046285
2,44_74,8.043921
2,29_74,6.594209
2,22,0.63023
2,26_74,6.434769
2,41_74,8.041324
2,24,0.716286
2,30_74,6.603169
2,43_74,8.021554
2,95,4.595769
2,23,0.673945
2,21,0.605608
2,25_74,6.302073
2,31_74,6.720403
2,45_74,8.374
2,32_74,6.669178
2,35_74,7.471898
2,20,0.562058
2,40_74,8.118605
2,39_74,7.639323
2,96,4.752279
2,102,6.041253
2,106,6.128677
2,33_74,6.645514
2,103,6.000781
2,38_74,7.654989
2,104,6.076189
2,36_74,7.292349
2,37_74,7.327535
2,107,6.467684
2,101,6.057637
2,34_74,6.989169
2,47_74,8.390636
2,67_74,15.700971
2,98,4.634793
2,105,6.071119
2,66_74,16.027309
2,97,4.582762
2,100,5.172779
2,46_74,8.299407
2,99,4.608024
2,64_74,13.101891
2,18,0.401526
2,108,6.473747
2,65_74,14.185655
2,110,6.834318
2,51_74,8.919641
2,19,0.450891
2,109,6.476239
2,49_74,8.423501
2,54_74,10.003893
2,50_74,8.512758
2,68_74,15.587131
2,112,7.381569
2,111,6.74082
2,114,7.672565
2,74_74,18.023691
2,48_74,8.40405
2,17,0.367225
2,62_74,14.540176
2,63_74,14.624518
2,113,7.690421
2,69_74,15.702111
2,116,7.235042
2,56_74,9.901036
2,70_74,15.882936
2,55_74,9.961026
2,73_74,18.165734
2,115,7.426192
2,57_74,9.772721
2,71_74,15.408603
2,61_74,14.481252
2,53_74,9.914229
2,145,9.48517
2,118,7.16717
2,60_74,12.824336
2,59_74,12.700482
2,75_74,23.3624
2,52_74,9.938669
2,144,9.266233
2,117,7.232343
2,143,9.32273
2,58_74,10.392011
2,119,7.232837
2,72_74,18.317677
2,142,9.256671
2,147,8.877479
2,78_74,26.32216
2,77_74,34.538776
2,76_74,34.538776
2,83_74,29.024091
2,146,9.388248
2,84_74,20.371316
2,120,7.662009
2,85_74,19.08734
2,124,7.692574
2,140,9.894515
2,123,7.712368
2,121,7.680503
2,82_74,34.538776
2,122,7.683406
2,137,9.42507
2,126,7.610129
2,148,8.670004
2,141,9.848886
2,79_74,34.538776
2,80_74,34.538776
2,149,8.754576
2,132,7.904473
2,86_74,21.156371
2,127,9.036485
2,87_74,23.373451
2,88_74,22.388206
2,81_74,34.538776
2,136,9.38064
2,138,9.532807
2,150,9.213742
2,125,7.578391
2,139,9.584751
2,130,8.340065
2,128,8.221839
2,131,8.39536
2,133,8.362931
2,151,9.079106
2,129,8.269762
2,152,9.691893
2,135,9.313296
2,153,9.991817
2,134,8.858455
2,155,9.540796
2,89_74,15.798262
2,154,10.0513
2,92_74,14.583434
2,91_74,15.926426
2,90_74,15.773533
2,93_74,15.74913
2,16,0.347746
2,15,0.344091
2,94_74,15.753736
2,95_74,15.55876
2,156,10.070071
2,14,0.27438
2,96_74,15.587419
2,157,9.929947
2,13,0.259954
2,159,10.377288
2,158,9.763702
2,160,10.340606
2,10,0.195712
2,11,0.221511
2,9,0.183656
2,12,0.234265
2,161,8.896225
2,162,10.011713
2,97_74,17.739401
2,163,10.011226
2,165,10.185513
2,164,10.015318
2,4,0.036072
2,98_74,20.248735
2,99_74,21.569331
2,2,0.013827
2,100_74,30.723404
2,3,0.02103
2,101_74,34.433507
2,166,10.189512
2,102_74,34.538776
2,8,0.160899
2,167,10.135156
2,7,0.149914
2,168,9.654572
2,103_74,22.155914
2,6,0.139848
2,5,0.129238
2,169,10.236562
